Type,Location,Bath,Bedrooms,Precinct,Total Area,Total Price
1,"Bahria Town, Karachi",3,3,Precinct 11-A,200,22000000
1,"Bahria Town, Karachi",3,3,Precinct 27,235,19500000
1,"Bahria Town, Karachi",3,3,Precinct 2,152,20500000
1,"Bahria Town, Karachi",3,3,Precinct 11-A,152,18500000
1,"Bahria Town, Karachi",3,3,Precinct 11-B,152,17000000
2,"Bahria Town, Karachi",1,1,Precinct 8,57,6042000
1,"Bahria Town, Karachi",3,3,Precinct 2,200,24500000
2,"Bahria Town, Karachi",2,2,Bahria Town,122,8000000
1,"Bahria Town, Karachi",3,6,Precinct 8,250,26000000
1,"Bahria Town, Karachi",3,3,Bahria Town,125,12100000
2,"Bahria Town, Karachi",2,2,Precinct 19,106,9800000
2,"Bahria Town, Karachi",3,3,Precinct 19,250,21500000
1,"Bahria Town, Karachi",3,3,Precinct 27,235,16000000
1,"Bahria Town, Karachi",4,4,Sports City,350,26500000
1,"Bahria Town, Karachi",3,3,Precinct 2,200,27000000
1,"Bahria Town, Karachi",5,5,Sports City,500,51000000
1,"Bahria Town, Karachi",3,3,Precinct 27,235,20000000
1,"Bahria Town, Karachi",5,5,Sports City,500,49000000
1,"Bahria Town, Karachi",3,3,Precinct 31,235,18500000
1,"Bahria Town, Karachi",3,3,Precinct 2,200,26000000
1,"Bahria Town, Karachi",5,5,Sports City,500,51000000
1,"Bahria Town, Karachi",5,4,Precinct 8,250,43500000
1,"Bahria Town, Karachi",5,4,Precinct 8,250,43500000
1,"Bahria Town, Karachi",4,3,Precinct 12,125,16500000
1,"Bahria Town, Karachi",5,5,Bahria Town,272,35500000
2,"Bahria Town, Karachi",2,2,Bahria Town,122,8000000
2,"Bahria Town, Karachi",2,2,Precinct 19,106,9800000
2,"Bahria Town, Karachi",2,2,Bahria Town,122,8200000
2,"Bahria Town, Karachi",2,2,Bahria Town,106,8200000
2,"Bahria Town, Karachi",2,2,Bahria Town,122,11300000
2,"Bahria Town, Karachi",2,2,Precinct 19,106,8500000
1,"Bahria Town, Karachi",4,3,Precinct 31,235,15500000
2,"Bahria Town, Karachi",2,2,Bahria Town,124,12200000
1,"Bahria Town, Karachi",4,4,Sports City,350,23500000
2,"Bahria Town, Karachi",1,1,Bahria Town,53,3200000
1,"Bahria Town, Karachi",3,3,Precinct 12,125,15500000
1,"Bahria Town, Karachi",4,4,Precinct 12,125,13000000
1,"Bahria Town, Karachi",3,3,Precinct 11-A,200,20200000
1,"Bahria Town, Karachi",4,4,Sports City,350,23500000
1,"Bahria Town, Karachi",3,4,Sports City,350,22500000
1,"Bahria Town, Karachi",5,5,Bahria Paradise,500,49000000
1,"Bahria Town, Karachi",3,3,Precinct 35,350,22500000
2,"Bahria Town, Karachi",2,2,Precinct 8,106,8000000
1,"Bahria Town, Karachi",5,5,Precinct 1,272,29000000
1,"Bahria Town, Karachi",5,5,Precinct 4,500,53000000
1,"Bahria Town, Karachi",3,3,Precinct 11-A,152,15500000
2,"Bahria Town, Karachi",2,2,Precinct 19,106,7900000
1,"Bahria Town, Karachi",5,5,Precinct 8,250,35000000
2,"Bahria Town, Karachi",1,1,Precinct 19,50,4800000
2,"Bahria Town, Karachi",1,1,Precinct 19,52,4850000
2,"Bahria Town, Karachi",1,1,Precinct 6,72,5100000
2,"Bahria Town, Karachi",2,2,Precinct 19,106,7700000
1,"Bahria Town, Karachi",4,3,Precinct 11-A,152,15200000
2,"Bahria Town, Karachi",2,2,Bahria Town,94,4000000
2,"Bahria Town, Karachi",2,2,Bahria Town,122,8000000
2,"Bahria Town, Karachi",2,2,Bahria Town,106,8200000
2,"Bahria Town, Karachi",1,1,Bahria Town,56,4500000
2,"Bahria Town, Karachi",1,1,Bahria Town,56,5000000
1,"Bahria Town, Karachi",4,4,Sports City,350,21500000
1,"Bahria Town, Karachi",3,3,Bahria Greens,75,9500000
1,"Bahria Town, Karachi",3,3,Precinct 31,235,15200000
1,"Bahria Town, Karachi",4,3,Precinct 12,125,17500000
2,"Bahria Town, Karachi",3,3,Bahria Town,122,6800000
1,"Bahria Town, Karachi",5,5,Precinct 8,250,35000000
